id,carat,cut,color,clarity,depth,table,x,y,z,price
218,1.01,Good,F,VS2,64.1,59.0,6.16,6.23,3.97,6037
219,0.9,Very Good,G,VS1,61.3,61.0,6.15,6.25,3.8,4515
220,0.83,Ideal,E,VS2,61.3,56.0,6.06,6.08,3.72,4271
221,0.4,Very Good,E,SI2,58.7,57.0,4.88,4.94,2.88,611
222,1.0,Very Good,F,VS1,62.6,57.0,6.35,6.42,4.0,6468
223,0.33,Premium,D,SI1,61.5,60.0,4.44,4.41,2.72,780
224,1.03,Good,I,VS2,60.0,62.0,6.51,6.55,3.92,4819
225,0.72,Premium,G,VVS2,61.6,58.0,5.78,5.81,3.57,2720
226,0.32,Ideal,F,VS2,62.4,57.0,4.34,4.38,2.72,645
227,0.9,Ideal,F,SI1,62.0,57.0,6.21,6.25,3.86,4318
228,0.43,Premium,D,SI1,61.0,57.0,4.88,4.85,2.97,993
229,0.7,Good,E,VVS2,63.6,62.0,5.61,5.58,3.56,2858
230,1.19,Premium,G,SI2,58.9,60.0,7.0,6.92,4.09,4758
231,0.6,Very Good,F,SI1,62.1,57.4,5.39,5.45,3.35,1715
232,0.73,Ideal,E,VVS2,61.6,55.0,5.8,5.83,3.58,3535
233,1.51,Ideal,G,VS2,62.2,57.0,7.28,7.36,4.55,12947
234,1.07,Premium,G,SI2,62.5,59.0,6.5,6.47,4.05,3296
235,0.71,Ideal,H,SI2,61.5,56.0,5.71,5.74,3.52,2122
236,1.28,Premium,H,SI2,60.2,60.0,6.97,6.93,4.31,5376
237,0.38,Very Good,D,VS2,63.1,55.0,4.6,4.59,2.9,1005
238,0.31,Ideal,H,VS1,62.6,55.0,4.35,4.31,2.71,698
239,0.53,Ideal,F,VVS1,61.6,56.0,5.18,5.24,3.21,2896
240,1.02,Ideal,D,SI2,61.7,58.0,6.41,6.49,3.98,5426
241,1.19,Very Good,J,SI2,63.4,56.8,6.7,6.79,4.27,4329
242,1.06,Premium,F,SI1,61.9,58.0,6.58,6.53,4.06,4862
243,0.51,Good,D,VS2,58.0,60.0,5.26,5.29,3.06,1831
244,1.1,Ideal,G,SI2,62.5,55.0,6.61,6.66,4.15,5407
245,0.53,Ideal,H,VVS1,61.2,56.0,5.25,5.27,3.22,1842
246,0.33,Premium,G,VS2,60.6,61.0,4.49,4.46,2.71,743
247,0.32,Ideal,D,VS2,62.7,54.0,4.38,4.36,2.74,972
248,2.02,Ideal,G,VS2,61.7,53.0,8.14,8.04,4.99,18077
249,0.56,Ideal,E,VS2,61.9,55.0,5.34,5.29,3.29,1915
250,0.93,Ideal,H,SI1,61.6,54.0,6.29,6.33,3.89,3985
251,1.73,Good,E,SI1,64.2,58.0,7.54,7.5,4.83,14479
252,0.3,Ideal,F,IF,61.6,58.0,4.28,4.32,2.65,886
253,0.3,Very Good,F,VS2,63.0,55.0,4.28,4.29,2.7,524
254,0.41,Ideal,H,VVS1,62.7,54.0,4.78,4.79,3.0,1043
255,0.34,Ideal,E,VVS1,61.4,56.0,4.51,4.54,2.78,973
256,0.53,Ideal,D,VS2,61.4,55.0,5.21,5.24,3.21,1585
257,1.17,Ideal,F,SI1,62.2,56.0,6.73,6.71,4.18,5944
258,0.32,Very Good,G,VS1,62.8,59.0,4.33,4.37,2.73,645
259,1.2,Ideal,G,VVS1,61.2,56.0,6.89,6.86,4.21,9570
260,1.02,Ideal,E,VS2,61.0,56.0,6.53,6.51,3.98,8225
261,0.54,Very Good,I,VS2,62.3,56.0,5.17,5.22,3.24,1317
262,2.02,Good,I,VS1,65.5,57.0,7.88,7.96,5.19,15765
263,0.36,Ideal,G,SI1,62.7,55.0,4.59,4.54,2.86,689
264,1.2,Ideal,I,VS2,63.2,59.0,6.73,6.68,4.24,5699
265,1.52,Good,E,SI1,63.5,58.0,7.29,7.36,4.65,11075
266,0.77,Ideal,F,VS1,62.5,57.0,5.88,5.9,3.68,3357
267,0.31,Ideal,G,VS2,61.8,53.0,4.35,4.39,2.7,652
268,0.4,Premium,G,SI1,61.1,61.0,4.76,4.7,2.89,900
269,0.58,Ideal,F,VS1,62.1,56.0,5.32,5.38,3.32,1983
270,0.32,Ideal,G,IF,61.7,57.0,4.39,4.42,2.72,898
271,0.42,Premium,F,SI1,60.8,58.0,4.83,4.87,2.95,773
272,1.5,Good,J,SI1,64.0,56.0,7.21,7.16,4.6,5914
273,0.92,Ideal,H,SI1,61.6,56.0,6.21,6.25,3.84,4587
274,0.71,Very Good,E,SI1,61.1,57.0,5.69,5.73,3.49,2606
275,0.7,Good,H,VS2,64.2,58.0,5.61,5.58,3.59,2351
276,1.19,Ideal,D,VVS2,62.0,57.0,6.76,6.86,4.22,12795
277,0.43,Premium,D,SI1,61.0,58.0,4.83,4.88,2.96,774
278,1.62,Premium,G,VS2,62.3,58.0,7.49,7.54,4.68,13578
279,0.31,Ideal,F,VVS2,62.2,53.0,4.37,4.41,2.73,706
280,1.08,Premium,G,VS1,62.7,56.0,6.55,6.52,4.1,6982
281,0.52,Good,G,VS1,63.3,55.0,5.09,5.12,3.23,1689
282,0.4,Premium,D,SI1,61.6,58.0,4.73,4.69,2.9,990
283,0.79,Good,E,SI1,64.1,54.0,5.86,5.84,3.75,2849
284,0.34,Ideal,G,VS1,61.4,56.0,4.52,4.54,2.78,657
285,0.83,Very Good,D,VS1,58.2,59.0,6.19,6.24,3.62,4521
286,0.54,Very Good,D,VS2,60.7,57.0,5.24,5.29,3.2,2113
287,1.0,Premium,G,VVS1,62.9,53.0,6.39,6.32,4.0,7848
288,1.3,Very Good,H,VS1,61.9,56.0,6.97,7.05,4.34,7747
289,0.4,Ideal,G,VVS1,61.6,57.0,4.75,4.76,2.93,1123
290,0.24,Ideal,G,VVS1,62.0,56.0,3.97,4.01,2.47,559
291,1.0,Premium,H,SI2,60.0,62.0,6.53,6.51,3.91,3584
292,0.4,Very Good,E,SI2,61.4,57.0,4.68,4.74,2.89,666
293,0.31,Ideal,G,VVS2,62.7,57.0,4.32,4.35,2.72,660
294,1.15,Premium,H,SI1,60.9,57.0,6.8,6.72,4.12,5139
295,0.71,Ideal,E,VS2,61.3,56.0,5.76,5.79,3.54,3553
296,1.09,Ideal,G,VS2,62.0,54.0,6.61,6.65,4.11,6905
297,0.54,Premium,E,VS1,60.3,58.0,5.26,5.32,3.19,1939
298,1.09,Ideal,H,SI1,62.5,56.0,6.58,6.53,4.1,5219
299,0.56,Premium,H,VS2,62.2,60.0,5.28,5.23,3.27,1432
300,1.25,Premium,F,VS2,61.5,60.0,6.93,6.89,4.25,8840
301,0.9,Premium,D,SI1,62.8,59.0,6.18,6.14,3.87,4612
302,1.24,Ideal,H,SI1,61.3,57.0,6.95,6.89,4.24,6254
303,1.06,Very Good,E,SI1,59.8,56.0,6.63,6.67,3.98,6169
304,1.01,Premium,I,SI2,60.5,61.0,6.47,6.42,3.9,3761
305,0.73,Ideal,J,SI1,62.0,55.0,5.75,5.86,3.6,2184
306,0.44,Good,E,VS2,62.2,62.0,4.79,4.85,3.0,1059
307,0.34,Premium,I,SI1,61.8,57.0,4.51,4.46,2.77,574
308,0.48,Good,G,VS1,58.6,62.0,5.14,5.2,3.03,1199
309,0.42,Ideal,G,SI1,61.6,56.0,4.81,4.84,2.97,896
310,0.41,Ideal,G,SI2,61.7,55.0,4.78,4.81,2.96,664
311,1.18,Ideal,E,SI2,60.9,57.0,6.86,6.89,4.19,6328
312,0.54,Ideal,G,VVS2,61.9,55.0,5.2,5.3,3.25,1927
313,0.32,Good,H,VS2,63.1,55.0,4.33,4.36,2.74,505
314,2.03,Premium,G,I1,61.1,58.0,8.11,8.06,4.94,6377
315,0.91,Very Good,G,VS1,63.2,58.0,6.15,6.07,3.86,4209
316,0.31,Very Good,I,VS1,62.8,55.0,4.31,4.35,2.72,489
317,0.31,Very Good,I,VS2,60.8,60.0,4.37,4.42,2.67,435
318,0.71,Fair,G,VS1,65.5,55.0,5.62,5.53,3.65,2686
319,1.09,Premium,G,SI1,62.5,59.0,6.56,6.53,4.09,4322
320,1.03,Ideal,G,VS1,61.7,56.0,6.47,6.53,4.01,7587
321,1.01,Very Good,H,SI1,59.8,61.0,6.54,6.51,3.9,4680
322,0.33,Ideal,D,VS1,61.0,56.0,4.47,4.45,2.72,1077
323,0.38,Ideal,E,VVS2,62.2,56.0,4.58,4.65,2.87,1100
324,1.11,Very Good,H,SI1,62.0,56.0,6.61,6.65,4.11,5010
325,0.79,Ideal,E,SI1,62.9,55.0,5.93,5.86,3.71,3075
326,1.2,Very Good,D,SI1,62.6,59.0,6.71,6.75,4.21,7909
327,0.42,Very Good,I,SI1,61.2,60.0,4.78,4.82,2.94,626
328,0.42,Ideal,I,IF,62.1,54.0,4.82,4.84,3.0,961
329,1.13,Fair,J,SI1,64.9,55.0,6.49,6.56,4.24,4123
330,0.54,Premium,H,VS1,62.4,55.0,5.25,5.2,3.26,1637
331,0.47,Ideal,G,SI2,62.4,55.0,4.96,5.01,3.11,784
332,0.54,Ideal,G,VVS2,61.4,55.0,5.3,5.22,3.23,2090
333,0.54,Very Good,F,VVS2,60.2,59.0,5.27,5.3,3.18,2198
334,0.52,Ideal,E,VS2,61.7,56.0,5.13,5.18,3.18,1708
335,0.31,Ideal,H,IF,60.8,56.0,4.42,4.4,2.68,1081
336,1.61,Premium,J,IF,62.1,58.0,7.53,7.47,4.66,10350
337,1.35,Premium,F,SI2,62.8,60.0,7.08,7.0,4.42,6804
338,0.3,Very Good,G,VS1,62.0,60.0,4.27,4.31,2.66,565
339,1.0,Very Good,I,VS1,63.3,55.0,6.39,6.34,4.03,4516
340,2.01,Ideal,G,SI1,59.2,57.0,8.23,8.19,4.86,17492
341,0.3,Very Good,E,SI1,62.9,57.0,4.27,4.32,2.7,526
342,0.27,Very Good,G,VVS2,61.0,56.0,4.19,4.22,2.56,504
343,0.7,Good,D,SI2,58.2,63.0,5.78,5.83,3.38,2583
344,0.84,Ideal,D,SI1,62.4,57.0,6.03,6.08,3.78,3685
345,0.7,Fair,F,VS1,55.9,62.0,5.94,5.83,3.29,2399
346,0.71,Premium,F,SI2,62.3,60.0,5.7,5.67,3.54,2169
347,1.51,Premium,G,VS2,62.5,59.0,7.28,7.34,4.57,12756
348,0.4,Ideal,E,VS1,62.0,54.0,4.74,4.77,2.95,1053
349,0.9,Very Good,F,SI2,63.4,58.0,6.08,6.01,3.83,3556
350,0.4,Ideal,E,VS2,62.9,55.0,4.74,4.73,2.98,975
351,0.77,Very Good,G,SI1,58.4,63.0,5.95,6.03,3.5,2635
352,0.4,Very Good,E,VVS1,62.9,56.0,4.67,4.71,2.95,1191
353,0.3,Ideal,F,VS1,62.3,56.0,4.26,4.28,2.66,603
